Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Pumpkin: U.S. imports by value ($1,000)","Pumpkin: U.S. imports by volume (1,000 pounds)",Pumpkin: U.S. imports unit value ($ per pound),Pumpkin: U.S. import sources by value,Pumpkin: U.S. import sources by volume,"Pumpkin: U.S. exports by value ($1,000) ","Pumpkin: U.S. exports by volume (1,000 pounds)",Pumpkin: U.S. exports by unit value ($ per pound),Pumpkin: U.S. export destinations by value,Pumpkin: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3
,,,,,,gen val mo,2018,,813.371,,,,
,,,,,,gen val mo,2018,,576.978,,,,
,,,,,,gen val mo,2018,,518.306,,,,
,,,,,,gen val mo,2018,,406.918,,,,
,,,,,,gen val mo,2018,,397.867,,,,
,,,,,,gen val mo,2018,,470.814,,,,
,,,,,,gen val mo,2018,,334.615,,,,
,,,,,,gen val mo,2018,,728.577,,,,
,,,,,,gen val mo,2018,,2830.771,,,,
,,,,,,gen val mo,2018,,4101.542,,,,
,,,,,,gen val mo,2018,,1196.511,,,,
,,,,,,gen val mo,2018,,860.776,,,,
,,,,,,gen val mo,2019,,559.06,,,,
,,,,,,gen val mo,2019,,488.371,,,,
,,,,,,gen val mo,2019,,461.45,,,,
,,,,,,gen val mo,2019,,729.055,,,,
,,,,,,gen val mo,2019,,742.027,,,,
,,,,,,gen val mo,2019,,486.968,,,,
,,,,,,gen val mo,2019,,657.981,,,,
,,,,,,gen val mo,2019,,1081.809,,,,
,,,,,,gen val mo,2019,,4628.895,,,,
,,,,,,gen val mo,2019,,5437.181,,,,
,,,,,,gen val mo,2019,,792.096,,,,
,,,,,,gen val mo,2019,,682.724,,,,
,,,,,,gen val mo,2020,,535.209,,,,
,,,,,,gen val mo,2020,,489.458,,,,
,,,,,,gen val mo,2020,,1222.923,,,,
,,,,,,gen val mo,2020,,761.925,,,,
,,,,,,gen val mo,2020,,1048.588,,,,
,,,,,,gen val mo,2020,,629.099,,,,
,,,,,,gen val mo,2020,,667.82,,,,
,,,,,,gen val mo,2020,,782.468,,,,
,,,,,,gen val mo,2020,,7858.725,,,,
,,,,,,gen val mo,2020,,6765.042,,,,
,,,,,,gen val mo,2020,,1068.398,,,,
,,,,,,gen val mo,2020,,949.047,,,,
,,,,,,gen val mo,2021,,831.248,,,,
,,,,,,gen val mo,2021,,932.003,,,,
,,,,,,gen val mo,2021,,1083.301,,,,
,,,,,,gen val mo,2021,,771.309,,,,
,,,,,,gen val mo,2021,,620.442,,,,
,,,,,,gen val mo,2021,,679.992,,,,
,,,,,,gen val mo,2021,,535.225,,,,
,,,,,,gen val mo,2021,,672.984,,,,
,,,,,,gen val mo,2021,,7095.906,,,,
,,,,,,gen val mo,2021,,4448.369,,,,
,,,,,,gen val mo,2021,,959.977,,,,
,,,,,,gen val mo,2021,,994.694,,,,
,,,,,,gen val mo,2022,,633.619,,,,
,,,,,,gen val mo,2022,,716.797,,,,
,,,,,,gen val mo,2022,,467.547,,,,
,,,,,,gen val mo,2022,,431.151,,,,
,,,,,,gen val mo,2022,,544.496,,,,
,,,,,,gen val mo,2022,,563.651,,,,
,,,,,,gen val mo,2022,,643.873,,,,
,,,,,,gen val mo,2022,,1337.225,,,,
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2022,634,"1,818","5,338"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2022,717,"1,818","5,338"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2022,468,"1,818","5,338"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2022,431,"1,539","5,338"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2022,544,"1,539","5,338"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2022,564,"1,539","5,338"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2022,644,"1,981","5,338"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2022,"1,337","1,981","5,338"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2022,NA,"1,981","5,338"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2022,NA,,"5,338"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2022,NA,,"5,338"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2022,NA,,"5,338"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2021,831,"2,847","19,625"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2021,932,"2,847","19,625"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2021,"1,083","2,847","19,625"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2021,771,"2,072","19,625"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2021,620,"2,072","19,625"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2021,680,"2,072","19,625"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2021,535,"8,304","19,625"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2021,673,"8,304","19,625"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2021,"7,096","8,304","19,625"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2021,"4,448","6,403","19,625"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2021,960,"6,403","19,625"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2021,995,"6,403","19,625"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2020,535,"2,248","22,779"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2020,489,"2,248","22,779"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2020,"1,223","2,248","22,779"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2020,762,"2,440","22,779"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2020,"1,049","2,440","22,779"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2020,629,"2,440","22,779"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2020,668,"9,309","22,779"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2020,782,"9,309","22,779"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2020,"7,859","9,309","22,779"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2020,"6,765","8,782","22,779"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2020,"1,068","8,782","22,779"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2020,949,"8,782","22,779"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2019,559,"1,509","16,748"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2019,488,"1,509","16,748"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2019,461,"1,509","16,748"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2019,729,"1,958","16,748"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2019,742,"1,958","16,748"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2019,487,"1,958","16,748"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2019,658,"6,369","16,748"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2019,"1,082","6,369","16,748"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2019,"4,629","6,369","16,748"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2019,"5,437","6,912","16,748"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2019,792,"6,912","16,748"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2019,683,"6,912","16,748"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2018,813,"1,909","13,237"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2018,577,"1,909","13,237"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2018,518,"1,909","13,237"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2018,407,"1,276","13,237"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2018,398,"1,276","13,237"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2018,471,"1,276","13,237"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2018,335,"3,894","13,237"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2018,729,"3,894","13,237"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2018,"2,831","3,894","13,237"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2018,"4,102","6,159","13,237"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2018,"1,197","6,159","13,237"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2018,861,"6,159","13,237"

Textbox120,Textbox132,Textbox97,qq4,Textbox25,Textbox125,gen qty mo_label,gen qty mo_Chart5_CategoryGroup_label,gen qty mo_Chart5_CategoryGroup_Chart5_CategoryGroup1_label,gen qty mo_Chart5_CategoryGroup_Chart5_CategoryGroup1_Value_Y,stat_year4,gen_qty_mo10,gen_qty_mo11,gen_qty_yr4
,,,,,,gen qty mo,2018,,3815.41911738947,,,,
,,,,,,gen qty mo,2018,,2795.24322686468,,,,
,,,,,,gen qty mo,2018,,3692.91705678383,,,,
,,,,,,gen qty mo,2018,,2737.4071570031,,,,
,,,,,,gen qty mo,2018,,2640.11275145567,,,,
,,,,,,gen qty mo,2018,,3033.51002134361,,,,
,,,,,,gen qty mo,2018,,2053.9454841359,,,,
,,,,,,gen qty mo,2018,,4373.68468080713,,,,
,,,,,,gen qty mo,2018,,17390.4247992531,,,,
,,,,,,gen qty mo,2018,,25394.7768124936,,,,
,,,,,,gen qty mo,2018,,4764.79355241359,,,,
,,,,,,gen qty mo,2018,,4020.73341753963,,,,
,,,,,,gen qty mo,2019,,3694.42060941193,,,,
,,,,,,gen qty mo,2019,,3073.2747995739,,,,
,,,,,,gen qty mo,2019,,2732.89208987356,,,,
,,,,,,gen qty mo,2019,,3769.02062969005,,,,
,,,,,,gen qty mo,2019,,3311.5790726374,,,,
,,,,,,gen qty mo,2019,,1916.75181837825,,,,
,,,,,,gen qty mo,2019,,2264.66992820007,,,,
,,,,,,gen qty mo,2019,,5060.99562477208,,,,
,,,,,,gen qty mo,2019,,26388.1621289176,,,,
,,,,,,gen qty mo,2019,,32016.3145601413,,,,
,,,,,,gen qty mo,2019,,4348.53214131446,,,,
,,,,,,gen qty mo,2019,,3481.26667121848,,,,
,,,,,,gen qty mo,2020,,3280.25799904879,,,,
,,,,,,gen qty mo,2020,,2578.04160153752,,,,
,,,,,,gen qty mo,2020,,5349.41317465283,,,,
,,,,,,gen qty mo,2020,,2932.44571111282,,,,
,,,,,,gen qty mo,2020,,4181.32033393772,,,,
,,,,,,gen qty mo,2020,,2376.22383286562,,,,
,,,,,,gen qty mo,2020,,3586.87029942766,,,,
,,,,,,gen qty mo,2020,,4180.96318507298,,,,
,,,,,,gen qty mo,2020,,41593.5148997326,,,,
,,,,,,gen qty mo,2020,,43365.6963850604,,,,
,,,,,,gen qty mo,2020,,4278.05035609395,,,,
,,,,,,gen qty mo,2020,,3818.95092282968,,,,
,,,,,,gen qty mo,2021,,3281.94012610926,,,,
,,,,,,gen qty mo,2021,,3310.35991632752,,,,
,,,,,,gen qty mo,2021,,4822.10051284593,,,,
,,,,,,gen qty mo,2021,,4329.64293469046,,,,
,,,,,,gen qty mo,2021,,3174.88585621491,,,,
,,,,,,gen qty mo,2021,,3738.63652071573,,,,
,,,,,,gen qty mo,2021,,3229.05122941111,,,,
,,,,,,gen qty mo,2021,,4170.0480984722,,,,
,,,,,,gen qty mo,2021,,42201.0493695033,,,,
,,,,,,gen qty mo,2021,,24761.670924932,,,,
,,,,,,gen qty mo,2021,,4446.11755704797,,,,
,,,,,,gen qty mo,2021,,4942.59416224307,,,,
,,,,,,gen qty mo,2022,,3234.6201061539,,,,
,,,,,,gen qty mo,2022,,3803.48769976003,,,,
,,,,,,gen qty mo,2022,,2614.96682583087,,,,
,,,,,,gen qty mo,2022,,2622.40301793436,,,,
,,,,,,gen qty mo,2022,,3193.20406557985,,,,
,,,,,,gen qty mo,2022,,2576.85551456697,,,,
,,,,,,gen qty mo,2022,,2355.27109946757,,,,
,,,,,,gen qty mo,2022,,5340.38744963898,,,,
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2022,"3,235","9,653","25,741"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2022,"3,803","9,653","25,741"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2022,"2,615","9,653","25,741"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2022,"2,622","8,392","25,741"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2022,"3,193","8,392","25,741"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2022,"2,577","8,392","25,741"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2022,"2,355","7,696","25,741"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2022,"5,340","7,696","25,741"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2022,NA,"7,696","25,741"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2022,NA,,"25,741"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2022,NA,,"25,741"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2022,NA,,"25,741"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2021,"3,282","11,414","106,408"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2021,"3,310","11,414","106,408"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2021,"4,822","11,414","106,408"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2021,"4,330","11,243","106,408"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2021,"3,175","11,243","106,408"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2021,"3,739","11,243","106,408"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2021,"3,229","49,600","106,408"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2021,"4,170","49,600","106,408"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2021,"42,201","49,600","106,408"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2021,"24,762","34,150","106,408"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2021,"4,446","34,150","106,408"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2021,"4,943","34,150","106,408"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2020,"3,280","11,208","121,522"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2020,"2,578","11,208","121,522"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2020,"5,349","11,208","121,522"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2020,"2,932","9,490","121,522"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2020,"4,181","9,490","121,522"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2020,"2,376","9,490","121,522"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2020,"3,587","49,361","121,522"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2020,"4,181","49,361","121,522"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2020,"41,594","49,361","121,522"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2020,"43,366","51,463","121,522"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2020,"4,278","51,463","121,522"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2020,"3,819","51,463","121,522"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2019,"3,694","9,501","92,058"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2019,"3,073","9,501","92,058"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2019,"2,733","9,501","92,058"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2019,"3,769","8,997","92,058"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2019,"3,312","8,997","92,058"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2019,"1,917","8,997","92,058"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2019,"2,265","33,714","92,058"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2019,"5,061","33,714","92,058"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2019,"26,388","33,714","92,058"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2019,"32,016","39,846","92,058"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2019,"4,349","39,846","92,058"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2019,"3,481","39,846","92,058"
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2018,"3,815","10,304","76,713"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2018,"2,795","10,304","76,713"
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2018,"3,693","10,304","76,713"
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2018,"2,737","8,411","76,713"
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2018,"2,640","8,411","76,713"
,Fresh or chilled¹,Market year*,Quarter 2,Jun,Q2,,,,,2018,"3,034","8,411","76,713"
,Fresh or chilled¹,Market year*,Quarter 3,Jul,Q3,,,,,2018,"2,054","23,818","76,713"
,Fresh or chilled¹,Market year*,Quarter 3,Aug,Q3,,,,,2018,"4,374","23,818","76,713"
,Fresh or chilled¹,Market year*,Quarter 3,Sep,Q3,,,,,2018,"17,390","23,818","76,713"
,Fresh or chilled¹,Market year*,Quarter 4,Oct,Q4,,,,,2018,"25,395","34,180","76,713"
,Fresh or chilled¹,Market year*,Quarter 4,Nov,Q4,,,,,2018,"4,765","34,180","76,713"
,Fresh or chilled¹,Market year*,Quarter 4,Dec,Q4,,,,,2018,"4,021","34,180","76,713"

Textbox122,Textbox134,Textbox31,qq6,Textbox34,Textbox127,gen qty mo_label,gen qty mo_Chart7_CategoryGroup_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_Value_Y,stat_year6,gen_qty_mo14,gen_qty_mo15,gen_qty_yr6
,,,,,,gen qty mo,2018,,0.213179987564908,,,,
,,,,,,gen qty mo,2018,,0.206414237750313,,,,
,,,,,,gen qty mo,2018,,0.140351378606752,,,,
,,,,,,gen qty mo,2018,,0.148650886280831,,,,
,,,,,,gen qty mo,2018,,0.15070076070828,,,,
,,,,,,gen qty mo,2018,,0.155204366126163,,,,
,,,,,,gen qty mo,2018,,0.162913282063459,,,,
,,,,,,gen qty mo,2018,,0.166581967647825,,,,
,,,,,,gen qty mo,2018,,0.162777564819554,,,,
,,,,,,gen qty mo,2018,,0.161511244232796,,,,
,,,,,,gen qty mo,2018,,0.251114972104911,,,,
,,,,,,gen qty mo,2018,,0.214084325074883,,,,
,,,,,,gen qty mo,2019,,0.151325487567857,,,,
,,,,,,gen qty mo,2019,,0.158908991824523,,,,
,,,,,,gen qty mo,2019,,0.168850428346532,,,,
,,,,,,gen qty mo,2019,,0.193433539274619,,,,
,,,,,,gen qty mo,2019,,0.224070446069414,,,,
,,,,,,gen qty mo,2019,,0.254058973796629,,,,
,,,,,,gen qty mo,2019,,0.290541677533977,,,,
,,,,,,gen qty mo,2019,,0.213754185975752,,,,
,,,,,,gen qty mo,2019,,0.175415588906337,,,,
,,,,,,gen qty mo,2019,,0.169825324204211,,,,
,,,,,,gen qty mo,2019,,0.182152499799753,,,,
,,,,,,gen qty mo,2019,,0.19611367484268,,,,
,,,,,,gen qty mo,2020,,0.16316064167977,,,,
,,,,,,gen qty mo,2020,,0.189856517330089,,,,
,,,,,,gen qty mo,2020,,0.228608813728315,,,,
,,,,,,gen qty mo,2020,,0.259825781978709,,,,
,,,,,,gen qty mo,2020,,0.250779159752274,,,,
,,,,,,gen qty mo,2020,,0.264747365672759,,,,
,,,,,,gen qty mo,2020,,0.186184596668177,,,,
,,,,,,gen qty mo,2020,,0.187150176972042,,,,
,,,,,,gen qty mo,2020,,0.188941113030352,,,,
,,,,,,gen qty mo,2020,,0.155999846974222,,,,
,,,,,,gen qty mo,2020,,0.249739463323076,,,,
,,,,,,gen qty mo,2020,,0.248509870688989,,,,
,,,,,,gen qty mo,2021,,0.253279453024466,,,,
,,,,,,gen qty mo,2021,,0.281541289635344,,,,
,,,,,,gen qty mo,2021,,0.224653342897793,,,,
,,,,,,gen qty mo,2021,,0.17814609925914,,,,
,,,,,,gen qty mo,2021,,0.195421828720384,,,,
,,,,,,gen qty mo,2021,,0.1818823510208,,,,
,,,,,,gen qty mo,2021,,0.165753022164845,,,,
,,,,,,gen qty mo,2021,,0.161385188877453,,,,
,,,,,,gen qty mo,2021,,0.168145250082996,,,,
,,,,,,gen qty mo,2021,,0.179647367638709,,,,
,,,,,,gen qty mo,2021,,0.215913544273756,,,,
,,,,,,gen qty mo,2021,,0.201249377826437,,,,
,,,,,,gen qty mo,2022,,0.195886681961363,,,,
,,,,,,gen qty mo,2022,,0.18845781992281,,,,
,,,,,,gen qty mo,2022,,0.178796532094224,,,,
,,,,,,gen qty mo,2022,,0.16441065581888,,,,
,,,,,,gen qty mo,2022,,0.170517132265121,,,,
,,,,,,gen qty mo,2022,,0.218735973675544,,,,
,,,,,,gen qty mo,2022,,0.273375324031936,,,,
,,,,,,gen qty mo,2022,,0.250398498725106,,,,
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2022,0.20,0.19,0.21
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2022,0.19,0.19,0.21
,Fresh or chilled¹,Market year*,Quarter 1,Mar,Q1,,,,,2022,0.18,0.19,0.21
,Fresh or chilled¹,Market year*,Quarter 2,Apr,Q2,,,,,2022,0.16,0.18,0.21
,Fresh or chilled¹,Market year*,Quarter 2,May,Q2,,,,,2022,0.17,0.18,0.21
